floss #	color	R	G	B
3760	Medium Wedgewood	70	114	147
3761	Light Sky Blue	177	208	223
3765	Very Dark Peacock Blue	23	94	120
3766	Light Peacock Blue	75	138	161
3768	Dark Gray Green	76	96	95
3770	Very Light Tawny	254	241	216
3771	Dark Peach	232	172	155
3772	Very Dark Desert Sand	153	87	68
3774	Very Light Desert Sand	243	207	180
3776	Light Mahogany	201	100	68
3777	Very Dark Terra Cotta	146	47	37
3778	Light Terra Cotta	210	112	92
3779	Ultra Very Light Terra Cotta	242	171	149
3781	Dark Mocha Brown	89	63	43
3782	Light Mocha Brown	182	157	128
3787	Dark Brown Gray	98	82	76
3790	Ultra Dark Beige Gray	109	90	75
3799	Very Dark Pewter Gray	57	57	61
3801	Very Dark Melon	228	53	61
3802	Very Dark Antique Mauve	103	42	51
3803	Dark Mauve	135	42	67
3804	Dark Cyclamen Pink	206	43	99
3805	Cyclamen Pink	223	60	115
3806	Light Cyclamen Pink	241	90	145
3807	Cornflower Blue	75	89	158
3808	Ultra Very Dark Turquoise	3	83	92
3809	Very Dark Turquoise	19	106	117
3810	Dark Turquoise	45	141	152
3811	Very Light Turquoise	168	226	229
3812	Very Dark Seagreen	7	161	132
3813	Light Blue Green	134	195	171
3814	Aquamarine	11	134	115
3815	Dark Celadon Green	67	114	89
3816	Celadon Green	96	147	122
3817	Light Celadon Green	129	198	164
3818	Ultra Very Dark Emerald Green	0	93	46
3819	Light Moss Green	204	201	89
3820	Dark Straw	219	165	62
3821	Straw	235	187	82
3822	Light Straw	247	209	105
3823	Ultra Pale Yellow	254	245	205
3824	Light Apricot	252	174	153
3825	Pale Pumpkin	254	163	112
3826	Golden Brown	177	102	51
3827	Pale Golden Brown	234	166	100
3828	Hazelnut Brown	170	124	67
3829	Very Dark Old Gold	167	103	29
3830	Terra Cotta	169	65	56
3831	Dark Raspberry	193	43	82
3832	Medium Raspberry	227	99	112
3833	Light Raspberry	234	139	150
3834	Dark Grape	106	34	88
3835	Medium Grape	146	77	120
